artist,song,doc_str,term_count
ADELE,Set Fire to the Rain,let fall heart fell rose claim was was kissed lips saved hands were knees were stand arms falling feet s side knew knew things say were games play win win set fire rain watched pour touched face burned cried heard screamin name name lay stay eyes feel nothing is s side knew knew things say were games play win win set fire rain watched pour touched face burned cried heard screamin name name set fire rain threw flames fell somethin died knew was time time wake door heart caught be re help lookin set fire rain watched pour touched face burned cried heard screamin name name set fire rain threw flames fell somethin died knew was time time outro nan let burn,139
ADELE,Skyfall,feel earth move hear heart burst is end ve drowned dreamt moment owe swept m let sky fall crumbles stand tall face let sky fall crumbles stand tall face skyfall skyfall skyfall is start thousand miles poles worlds days are have number take name have heart let sky fall let fall crumbles crumbles stand stand tall face let sky fall let fall crumbles crumbles stand stand tall face skyfall let sky fall crumbles stand tall let sky fall crumbles stand tall go go see see know be security loving arms keeping harm put hand hand stand let sky fall let fall crumbles crumbles stand stand tall face let sky fall let fall crumbles crumbles stand stand tall face skyfall outro nan let sky fall stand tall,180
ADELE,Someone Like You,heard dreams came guess gave things did give old friend are ai hold hide light hate turn blue stay fight had hoped see face be reminded is mind find someone wish nothing do forget beg remember said lasts love sometimes hurts lasts love sometimes hurts know time flies yesterday was time lives were born raised summer haze bound surprise glory days hate turn blue stay fight had hoped see face be reminded is mind find someone wish nothing do forget beg remember said lasts love sometimes hurts nothing compares worries cares regrets mistakes re memories made have known bittersweet taste breakdown nan mind find someone wish nothing do forget beg remember said lasts love sometimes hurts mind find someone wish nothing do forget beg remember said heard dreams came guess gave things did give old friend are ai hold hide light hate turn blue stay fight had hoped see face be reminded is mind find someone wish nothing do forget beg remember said lasts love sometimes hurts lasts love sometimes hurts know time flies yesterday was time lives were born raised summer haze bound surprise glory days hate turn blue stay fight had hoped see face be reminded is mind find someone wish nothing do forget beg remember said lasts love sometimes hurts nothing compares worries cares regrets mistakes re memories made have known bittersweet taste breakdown nan mind find someone wish nothing do forget beg remember said lasts love sometimes hurts mind find someone wish nothing do forget beg remember said,292
ADELE,Strangers By Nature,anniversary pay respects say m stood chance one knows s be ve seen sky colour s m everythin bit dust has settled rebut rebuttals one knows s be strangers nature stranguc0u1077 rs nature get hope someday learn nurture ve done outro nan oohooh ooh oohoohoohooh oohoohoohooh oohoohooh,30
ADELE,Sweetest Devotion,loving ai nothing adore way m running honey break law find funny re looked is something loving tears walls was m m heading straight be one belong devotion hit explosion life ve been devotion know be want be go clarity wonder m gon lose way home remember come whatever be was m m heading straight be one belong devotion hit explosion life ve been devotion know ve been looking baby face ve known is something way love feels home re light re darkness re kind madness re hope re despair re scope everything devotion hit explosion life ve been devotion know outro nan sweetest s sweetest sweetest s sweetest won92t go sides thought knew bear time drags lose mind reminded things find notes clothes left wake wake is done rise battle won dignity become undone go do ai love is m take risk go do ai love is m take risk m step ride lose heart fail climb forgive give trying heard voice today did know word said resemblance man met boy go do ai love is m take risk go do ai love is m take risk be times try give bursting seams doubt fall burn pieces watch turn dust nothing taint go do ai love is m take risk go do ai love is m take risk remember love s go place choose poison spoke yesterday said hold breath sit wait be home be go do ai love is s take risk go do ai love is m take risk go do ai love is re take risk go do,206
ADELE,Take It All,did do did let got used having walk tears s be road go take take take do look do look crumbling fool take love take love leave help see nothing gets is everything need is is re giving thought loved go go take take take do look do look crumbling fool take love take love change slow bring home adjust knew everything do is go go take take take do look do look crumbling fool take take take do look do look crumbling fool take love,61
ADELE,To Be Loved,m lost was always make mess everything s time face do is bleed someone painting walls tears filling rooms hopes fears learn leap yearn speak be loved love count means lose things live let be known choose lose s sacrifice live lie let be known let be known tried m m be catch time tryna learn lean ai funny mighty fall looking do regret thing took turns am owning stand let storm pass keep heart time feels learn leap yearn speak be loved love count means lose things live let be known choose lose s sacrifice live lie let be known let be known cried started lying thing do wanted be loved love count means lose things live let be known known known choose lose s sacrifice live lie let be known,150
ADELE,Turning Tables,god knows re fighting say say keep turning tables thumb breathe let close hurt rescue desert give heart think gave s time say goodbye turning tables turning tables haunted skies see ooh love is lost ghost is found braved storms leave try be knocked keep turning tables thumb breathe let close hurt rescue desert give heart think gave s time say goodbye turning tables turning tables time be be saviour thunder calls time be be saviour standing feet let close hurt rescue desert give heart think gave s time say goodbye turning tables turning tables outro nan,124
ADELE,When We Were Young,everybody is watching feel home re dream come chance re have moment go ve been night hoping re someone used know look movie sound song god reminds were let photograph light case is time be were realised were getting made restless was movie was song was face fears nobody told be s said left look movie sound song god reminds were let photograph light case is time be were realised were getting made restless was movie was song were were were were s admit were everything takes were were were were part keeps holding were case has gone were guess care were do care break nan was movie was song god reminds were were were were were let photograph light case is time were were be were realised were were were getting made restless were were m m getting makes were were,118
ADELE,Why Do You Love Me,do love do love do love do love do love do love do love do love do love do love do love be something water cause baby m knew do keep coming ve been decide run hide s s hands love drives s understand want love want love want love want love knows love be something air breathe is depend does time go spend moment daydreaming describe feel feels s s hands love drives s understand want love want love want love want love were shot dark blew left mark fade ve ignited spark let fires are have place heart be yours piece part were am s s hands love drives s understand want love want love want love want s s hands love drives s understand want love want love want love want love outro nan do love do love do love do love,156
